timestamp,vehicle,ward,phase,location_name,latitude,longitude
2025-12-14 09:04:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440048,77.009066
2025-12-14 09:05:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439801,77.008844
2025-12-14 09:06:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439816,77.008823
2025-12-14 09:07:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439831,77.008801
2025-12-14 09:08:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439845,77.008780
2025-12-14 09:09:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439860,77.008759
2025-12-14 09:10:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439875,77.008737
2025-12-14 09:11:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439890,77.008716
2025-12-14 09:12:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439905,77.008695
2025-12-14 09:13:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439920,77.008673
2025-12-14 09:14:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439934,77.008652
2025-12-14 09:15:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439949,77.008631
2025-12-14 09:16:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439964,77.008609
2025-12-14 09:17:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439979,77.008588
2025-12-14 09:18:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.439994,77.008566
2025-12-14 09:19:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440009,77.008545
2025-12-14 09:20:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440023,77.008524
2025-12-14 09:21:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440038,77.008502
2025-12-14 09:22:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440053,77.008481
2025-12-14 09:23:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440068,77.008460
2025-12-14 09:24:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440083,77.008438
2025-12-14 09:25:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440098,77.008417
2025-12-14 09:26:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440112,77.008396
2025-12-14 09:27:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440127,77.008374
2025-12-14 09:28:00,HR38T8618,10,TRAVEL_OUT,Old industrial area khandsa road,28.440142,77.008353
2025-12-14 09:27:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440230,77.007799
2025-12-14 09:28:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440225,77.007777
2025-12-14 09:29:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440216,77.007776
2025-12-14 09:30:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440200,77.007755
2025-12-14 09:31:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440184,77.007750
2025-12-14 09:32:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440173,77.007730
2025-12-14 09:33:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440162,77.007726
2025-12-14 09:34:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440144,77.007709
2025-12-14 09:35:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440136,77.007700
2025-12-14 09:36:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440123,77.007696
2025-12-14 09:37:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440108,77.007721
2025-12-14 09:38:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440100,77.007731
2025-12-14 09:39:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440088,77.007752
2025-12-14 09:40:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440078,77.007762
2025-12-14 09:41:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440068,77.007785
2025-12-14 09:42:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440062,77.007793
2025-12-14 09:43:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440047,77.007813
2025-12-14 09:44:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440036,77.007824
2025-12-14 09:45:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440026,77.007845
2025-12-14 09:46:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440020,77.007856
2025-12-14 09:47:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.440004,77.007873
2025-12-14 09:48:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439994,77.007887
2025-12-14 09:49:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439985,77.007908
2025-12-14 09:50:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439981,77.007918
2025-12-14 09:51:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439965,77.007937
2025-12-14 09:52:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439960,77.007950
2025-12-14 09:53:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439948,77.007971
2025-12-14 09:54:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439939,77.007979
2025-12-14 09:55:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439925,77.008001
2025-12-14 09:56:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439920,77.008011
2025-12-14 09:57:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439922,77.007986
2025-12-14 09:58:00,HR38T8618,10,WORKING,Old industrial area khandsa road,28.439918,77.007973
